ground,year,score
MCG,1932,10
MCG,1932,10
MCG,1932,0
MCG,1932,32
MCG,1932,34
MCG,1932,27
MCG,1932,2
MCG,1932,1
MCG,1932,15
MCG,1932,4
MCG,1932,52
MCG,1932,13
MCG,1932,8
MCG,1932,15
MCG,1932,22
MCG,1932,1
MCG,1932,4
MCG,1932,30
MCG,1932,9
MCG,1932,6
MCG,1932,4
MCG,1932,1
MCG,1932,26
MCG,1932,11
MCG,1932,103
MCG,1932,0
MCG,1932,32
MCG,1932,6
MCG,1932,0
MCG,1932,3
MCG,1932,0
MCG,1932,0
MCG,1932,33
MCG,1932,19
MCG,1932,5
MCG,1932,23
MCG,1932,0
MCG,1932,2
MCG,1932,25
MCG,1932,23
MCG,1932,4
MCG,1932,0
MCG,1932,0
MCG,1937,38
MCG,1937,1
MCG,1937,13
MCG,1937,16
MCG,1937,63
MCG,1937,20
MCG,1937,1
MCG,1937,27
MCG,1937,4
MCG,1937,7
MCG,1937,0
MCG,1937,11
MCG,1937,32
MCG,1937,17
MCG,1937,3
MCG,1937,3
MCG,1937,0
MCG,1937,3
MCG,1937,0
MCG,1937,0
MCG,1937,0
MCG,1937,0
MCG,1937,0
MCG,1937,18
MCG,1937,47
MCG,1937,20
MCG,1937,136
MCG,1937,270
MCG,1937,22
MCG,1937,0
MCG,1937,25
MCG,1937,7
MCG,1937,16
MCG,1937,23
MCG,1937,51
MCG,1937,111
MCG,1937,19
MCG,1937,17
MCG,1937,11
MCG,1937,61
MCG,1937,11
MCG,1937,0
MCG,1937,0
MCG,1937,17
MCG,1937,28
MCG,1937,169
MCG,1937,112
MCG,1937,118
MCG,1937,80
MCG,1937,21
MCG,1937,17
MCG,1937,1
MCG,1937,17
MCG,1937,13
MCG,1937,18
MCG,1937,44
MCG,1937,83
MCG,1937,14
MCG,1937,7
MCG,1937,38
MCG,1937,19
MCG,1937,0
MCG,1937,0
MCG,1937,3
MCG,1937,0
MCG,1937,41
MCG,1937,6
MCG,1937,1
MCG,1937,56
MCG,1937,28
MCG,1937,9
MCG,1937,11
MCG,1937,7
MCG,1937,2
MCG,1937,1
MCG,1937,0
MCG,1947,45
MCG,1947,21
MCG,1947,79
MCG,1947,12
MCG,1947,33
MCG,1947,0
MCG,1947,104
MCG,1947,35
MCG,1947,9
MCG,1947,19
MCG,1947,6
MCG,1947,2
MCG,1947,62
MCG,1947,89
MCG,1947,11
MCG,1947,9
MCG,1947,48
MCG,1947,61
MCG,1947,17
MCG,1947,0
MCG,1947,27
MCG,1947,10
MCG,1947,32
MCG,1947,155
MCG,1947,49
MCG,1947,9
MCG,1947,34
MCG,1947,43
MCG,1947,0
MCG,1947,92
MCG,1947,100
MCG,1947,1
MCG,1947,2
MCG,1947,40
MCG,1947,112
MCG,1947,13
MCG,1947,14
MCG,1947,26
MCG,1947,5
MCG,1947,53
MCG,1947,25
MCG,1947,0
MCG,1948,12
MCG,1948,45
MCG,1948,132
MCG,1948,80
MCG,1948,29
MCG,1948,25
MCG,1948,26
MCG,1948,2
MCG,1948,21
MCG,1948,16
MCG,1948,5
MCG,1948,116
MCG,1948,36
MCG,1948,12
MCG,1948,17
MCG,1948,0
MCG,1948,55
MCG,1948,26
MCG,1948,2
MCG,1948,6
MCG,1948,4
MCG,1948,4
MCG,1948,0
MCG,1948,6
MCG,1948,3
MCG,1948,15
MCG,1948,100
MCG,1948,127
MCG,1948,13
MCG,1948,1
MCG,1948,28
MCG,1948,10
MCG,1948,8
MCG,1948,13
MCG,1948,1
MCG,1948,24
MCG,1948,18
MCG,1948,2
MCG,1948,0
MCG,1948,33
MCG,1948,99
MCG,1948,57
MCG,1948,14
MCG,1948,153
MCG,1948,80
MCG,1948,35
MCG,1948,37
MCG,1948,25
MCG,1948,11
MCG,1948,23
MCG,1948,111
MCG,1948,0
MCG,1948,38
MCG,1948,74
MCG,1948,12
MCG,1948,56
MCG,1948,1
MCG,1948,14
MCG,1948,2
MCG,1948,13
MCG,1948,0
MCG,1948,0
MCG,1948,10
MCG,1948,17
MCG,1948,10
MCG,1948,0
MCG,1948,8
MCG,1948,4
MCG,1948,0
